command_id,sequence_number,message_id,originator_addr,recipient_addr,short_message,src_ip,src_port,dst_ip,dst_port,timestamp
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40324,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40346,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40346,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40358,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40358,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40308,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40308,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40384,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40384,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40300,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40300,35.200.227.177,12042,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40300,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40300,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40384,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40384,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40330,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40330,35.200.227.177,12042,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40330,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40330,29/06/25 08:02:32
0x00000015,2393,,,,,172.17.0.2,40368,35.200.227.177,12042,29/06/25 08:02:32
0x00000015,2393,,,,,10.51.3.123,40368,35.200.227.177,12042,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,10.51.3.123,40368,29/06/25 08:02:32
0x80000015,2393,,,,,35.200.227.177,12042,172.17.0.2,40368,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47694,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47706,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47694,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47706,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47668,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47704,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47668,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47704,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47680,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47680,35.200.227.177,12041,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,10.51.3.123,47706,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,172.17.0.46,47706,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,10.51.3.123,47694,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,172.17.0.46,47694,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,10.51.3.123,47704,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,172.17.0.46,47704,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,10.51.3.123,47668,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,172.17.0.46,47668,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,10.51.3.123,47680,29/06/25 08:02:32
0x80000015,2389,,,,,35.200.227.177,12041,172.17.0.46,47680,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47688,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47688,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47644,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47644,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,172.17.0.46,47632,35.200.227.177,12041,29/06/25 08:02:32
0x00000015,2389,,,,,10.51.3.123,47632,35.200.227.177,12041,29/06/25 08:02:32
